timestamp,sport,game_id,game,side,market,bets_pct,money_pct,open_line,current_line,injury_news,key_number_note,dk_start_iso
2025-12-31T06:07:34.653370+00:00,nba,33372973,ORL Magic @ IND Pacers,IND Pacers,splits,23,25,,IND Pacers @ +140,,,
2025-12-31T06:07:34.653370+00:00,nba,33372973,ORL Magic @ IND Pacers,ORL Magic,splits,77,75,,ORL Magic @ -166,,,
2025-12-31T06:07:34.653370+00:00,nba,33372973,ORL Magic @ IND Pacers,ORL Magic -3.5,splits,64,66,,ORL Magic -3.5 @ -115,,,
2025-12-31T06:07:34.653370+00:00,nba,33372973,ORL Magic @ IND Pacers,IND Pacers +3.5,splits,36,34,,IND Pacers +3.5 @ -105,,,
2025-12-31T06:07:34.653370+00:00,nba,33372973,ORL Magic @ IND Pacers,Over 225.5,splits,78,78,,Over 225.5 @ -110,,,
2025-12-31T06:07:34.653370+00:00,nba,33372973,ORL Magic @ IND Pacers,Under 225.5,splits,22,22,,Under 225.5 @ -110,,,
2025-12-31T06:07:34.653370+00:00,nba,33371013,PHO Suns @ CLE Cavaliers,CLE Cavaliers,splits,69,49,,CLE Cavaliers @ -238,,,
2025-12-31T06:07:34.653370+00:00,nba,33371013,PHO Suns @ CLE Cavaliers,PHO Suns,splits,31,51,,PHO Suns @ +195,,,
2025-12-31T06:07:34.653370+00:00,nba,33371013,PHO Suns @ CLE Cavaliers,CLE Cavaliers -5.5,splits,60,78,,CLE Cavaliers -5.5 @ -118,,,
2025-12-31T06:07:34.653370+00:00,nba,33371013,PHO Suns @ CLE Cavaliers,PHO Suns +5.5,splits,40,22,,PHO Suns +5.5 @ -102,,,
2025-12-31T06:07:34.653370+00:00,nba,33371013,PHO Suns @ CLE Cavaliers,Over 235.5,splits,74,94,,Over 235.5 @ -108,,,
2025-12-31T06:07:34.653370+00:00,nba,33371013,PHO Suns @ CLE Cavaliers,Under 235.5,splits,26,6,,Under 235.5 @ -112,,,
2025-12-31T06:07:34.653370+00:00,nba,33371015,NY Knicks @ SA Spurs,SA Spurs,splits,60,57,,SA Spurs @ -118,,,
2025-12-31T06:07:34.653370+00:00,nba,33371015,NY Knicks @ SA Spurs,NY Knicks,splits,40,43,,NY Knicks @ -102,,,
