logged_at_utc,logic_version,sport,game_id,game,market,side,color
2026-01-01T00:52:49.648295+00:00,v0.1,ncaaf,33273680,Iowa @ Vanderbilt,MONEYLINE,Vanderbilt,RED
2026-01-01T00:28:39.239573+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Over 177.5,LIGHT_GREEN
2026-01-01T00:28:39.239885+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Under 177.5,RED
2026-01-01T00:38:23.065527+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Over 177.5,LIGHT_GREEN
2026-01-01T00:38:23.065861+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Under 177.5,RED
2026-01-01T00:40:29.341072+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Over 177.5,LIGHT_GREEN
2026-01-01T00:40:29.341386+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Under 177.5,RED
2026-01-01T00:44:41.999153+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Over 177.5,LIGHT_GREEN
2026-01-01T00:44:41.999497+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Under 177.5,RED
2026-01-01T00:49:31.977245+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Over 177.5,LIGHT_GREEN
2026-01-01T00:49:31.977605+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Under 177.5,RED
2026-01-01T00:52:49.667311+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Over 177.5,LIGHT_GREEN
2026-01-01T00:52:49.667627+00:00,v0.1,ncaab,33383540,IU Indianapolis @ Northern Kentucky,TOTAL,Under 177.5,RED
2026-01-01T00:28:39.221076+00:00,v0.1,ncaab,33380246,Lamar @ East Texas A&M,MONEYLINE,Lamar,YELLOW
2026-01-01T00:38:23.047419+00:00,v0.1,ncaab,33380246,Lamar @ East Texas A&M,MONEYLINE,Lamar,YELLOW
2026-01-01T00:40:29.323199+00:00,v0.1,ncaab,33380246,Lamar @ East Texas A&M,MONEYLINE,Lamar,YELLOW
2026-01-01T00:44:41.978818+00:00,v0.1,ncaab,33380246,Lamar @ East Texas A&M,MONEYLINE,Lamar,YELLOW
2026-01-01T00:49:31.959205+00:00,v0.1,ncaab,33380246,Lamar @ East Texas A&M,MONEYLINE,Lamar,YELLOW
2026-01-01T00:52:49.649268+00:00,v0.1,ncaab,33380246,Lamar @ East Texas A&M,MONEYLINE,Lamar,YELLOW
2026-01-01T00:28:39.225771+00:00,v0.1,nfl,32225743,MIA Dolphins @ NE Patriots,MONEYLINE,NE Patriots,YELLOW
2026-01-01T00:38:23.051500+00:00,v0.1,nfl,32225743,MIA Dolphins @ NE Patriots,MONEYLINE,NE Patriots,YELLOW
2026-01-01T00:40:29.327013+00:00,v0.1,nfl,32225743,MIA Dolphins @ NE Patriots,MONEYLINE,NE Patriots,YELLOW
2026-01-01T00:44:41.983801+00:00,v0.1,nfl,32225743,MIA Dolphins @ NE Patriots,MONEYLINE,NE Patriots,YELLOW
2026-01-01T00:49:31.963108+00:00,v0.1,nfl,32225743,MIA Dolphins @ NE Patriots,MONEYLINE,NE Patriots,YELLOW
2026-01-01T00:52:49.653211+00:00,v0.1,nfl,32225743,MIA Dolphins @ NE Patriots,MONEYLINE,NE Patriots,YELLOW
2026-01-01T00:28:39.231339+00:00,v0.1,ncaaf,33273274,Michigan @ Texas,TOTAL,Over 48.5,LIGHT_GREEN
2026-01-01T00:38:23.057205+00:00,v0.1,ncaaf,33273274,Michigan @ Texas,TOTAL,Over 48.5,LIGHT_GREEN
2026-01-01T00:40:29.332998+00:00,v0.1,ncaaf,33273274,Michigan @ Texas,TOTAL,Over 48.5,LIGHT_GREEN
